Sr no,Frame,Expression,Direction,Eye Movement,Label
1,c6_face1.jpg,neutral,Looking Right,closed,0
2,c6_face2.jpg,neutral,Looking Right,closed,0
3,c6_face3.jpg,neutral,Looking Right,closed,0
4,c6_face4.jpg,neutral,Looking Right,closed,0
5,c6_face5.jpg,neutral,Looking Right,closed,0
6,c6_face6.jpg,neutral,Looking Right,closed,0
7,c6_face7.jpg,neutral,Looking Right,closed,0
8,c6_face8.jpg,neutral,Looking Right,closed,0
9,c6_face9.jpg,neutral,Looking Right,closed,0
10,c6_face10.jpg,neutral,Looking Right,closed,0
11,c6_face11.jpg,neutral,Looking Right,closed,0
12,c6_face12.jpg,neutral,Looking Right,closed,0
13,c6_face13.jpg,neutral,Looking Right,closed,0
14,c6_face14.jpg,neutral,Looking Right,closed,0
15,c6_face15.jpg,neutral,Looking Right,closed,0
16,c6_face16.jpg,neutral,Looking Right,closed,0
17,c6_face17.jpg,neutral,Looking Right,closed,0
18,c6_face18.jpg,neutral,Looking Right,closed,0
19,c6_face19.jpg,neutral,Looking Right,closed,0
20,c6_face20.jpg,neutral,Looking Right,closed,0
21,c6_face21.jpg,neutral,Looking Right,closed,0
22,c6_face22.jpg,neutral,Looking Right,closed,0
23,c6_face23.jpg,neutral,Looking Right,closed,0
24,c6_face24.jpg,neutral,Looking Right,closed,0
25,c6_face25.jpg,neutral,Looking Right,closed,0
26,c6_face26.jpg,neutral,Looking Right,closed,0
27,c6_face27.jpg,neutral,Looking Right,closed,0
28,c6_face28.jpg,neutral,Looking Right,closed,0
29,c6_face29.jpg,neutral,Looking Right,closed,0
30,c6_face30.jpg,neutral,Looking Right,closed,0
31,c6_face31.jpg,neutral,Looking Right,closed,0
32,c6_face32.jpg,neutral,Looking Right,closed,0
33,c6_face33.jpg,neutral,Looking Right,closed,0
34,c6_face34.jpg,neutral,Looking Right,closed,0
35,c6_face35.jpg,neutral,Looking Right,closed,0
36,c6_face36.jpg,neutral,Looking Right,closed,0
37,c6_face37.jpg,neutral,Looking Right,closed,0
38,c6_face38.jpg,neutral,Looking Right,closed,0
39,c6_face39.jpg,neutral,Looking Right,closed,0
40,c6_face40.jpg,neutral,Looking Right,closed,0
41,c6_face41.jpg,neutral,Looking Right,closed,0
42,c6_face42.jpg,neutral,Looking Right,closed,0
43,c6_face43.jpg,neutral,Looking Right,closed,0
44,c6_face44.jpg,neutral,Looking Right,closed,0
45,c6_face45.jpg,neutral,Looking Right,closed,0
46,c6_face46.jpg,neutral,Looking Right,closed,0
47,c6_face47.jpg,neutral,Looking Right,closed,0
48,c6_face48.jpg,neutral,Looking Right,closed,0
49,c6_face49.jpg,neutral,Looking Right,closed,0
50,c6_face50.jpg,neutral,Looking Right,closed,0
51,c6_face51.jpg,neutral,Looking Right,closed,0
52,c6_face52.jpg,neutral,Looking Right,closed,0
53,c6_face53.jpg,neutral,Looking Right,closed,0
54,c6_face54.jpg,neutral,Looking Right,closed,0
55,c6_face55.jpg,neutral,Looking Right,closed,0
56,c6_face56.jpg,neutral,Looking Right,closed,0
57,c6_face57.jpg,neutral,Looking Right,closed,0
58,c6_face58.jpg,neutral,Looking Right,closed,0
59,c6_face59.jpg,neutral,Looking Right,closed,0
60,c6_face60.jpg,neutral,Looking Right,closed,0
61,c6_face61.jpg,neutral,Looking Right,closed,0
62,c6_face62.jpg,neutral,Looking Right,closed,0
63,c6_face63.jpg,neutral,Looking Right,closed,0
64,c6_face64.jpg,neutral,Looking Right,closed,0
65,c6_face65.jpg,neutral,Looking Right,closed,0
66,c6_face66.jpg,neutral,Looking Right,closed,0
67,c6_face67.jpg,neutral,Looking Right,closed,0
68,c6_face68.jpg,neutral,Looking Right,closed,0
69,c6_face69.jpg,neutral,Looking Right,closed,0
70,c6_face70.jpg,neutral,Looking Right,closed,0
71,c6_face71.jpg,neutral,Looking Right,closed,0
72,c6_face72.jpg,neutral,Looking Right,closed,0
73,c6_face73.jpg,neutral,Looking Right,closed,0
74,c6_face74.jpg,neutral,Looking Right,closed,0
75,c6_face75.jpg,neutral,Looking Right,closed,0
76,c6_face76.jpg,neutral,Looking Right,closed,0
77,c6_face77.jpg,neutral,Looking Right,closed,0
78,c6_face78.jpg,neutral,Looking Right,closed,0
79,c6_face79.jpg,neutral,Looking Right,closed,0
80,c6_face80.jpg,neutral,Looking Right,closed,0
81,c6_face81.jpg,neutral,Looking Right,closed,0
82,c6_face82.jpg,neutral,Looking Right,closed,0
83,c6_face83.jpg,neutral,Looking Right,closed,0
84,c6_face84.jpg,neutral,Looking Right,closed,0
85,c6_face85.jpg,neutral,Looking Right,closed,0
86,c6_face86.jpg,neutral,Looking Right,closed,0
87,c6_face87.jpg,neutral,Looking Right,closed,0
88,c6_face88.jpg,neutral,Looking Right,closed,0
89,c6_face89.jpg,neutral,Looking Right,closed,0
90,c6_face90.jpg,neutral,Looking Right,closed,0
91,c6_face91.jpg,neutral,Looking Right,closed,0
92,c6_face92.jpg,neutral,Looking Right,closed,0
93,c6_face93.jpg,neutral,Looking Right,closed,0
94,c6_face94.jpg,neutral,Looking Right,closed,0
95,c6_face95.jpg,neutral,Looking Right,closed,0
96,c6_face96.jpg,neutral,Looking Right,closed,0
97,c6_face97.jpg,neutral,Looking Right,closed,0
98,c6_face98.jpg,neutral,Looking Right,closed,0
99,c6_face99.jpg,neutral,Looking Right,closed,0
100,c6_face100.jpg,neutral,Looking Right,closed,0
101,c6_face101.jpg,neutral,Looking Right,closed,0
102,c6_face102.jpg,neutral,Looking Right,closed,0
103,c6_face103.jpg,neutral,Looking Right,closed,0
104,c6_face104.jpg,neutral,Looking Right,closed,0
105,c6_face105.jpg,neutral,Looking Right,closed,0
106,c6_face106.jpg,neutral,Looking Right,closed,0
107,c6_face107.jpg,neutral,Looking Right,closed,0
108,c6_face108.jpg,neutral,Looking Right,closed,0
109,c6_face109.jpg,neutral,Looking Right,closed,0
110,c6_face110.jpg,neutral,Looking Right,closed,0
111,c6_face111.jpg,neutral,Looking Right,closed,0
112,c6_face112.jpg,neutral,Looking Right,closed,0
113,c6_face113.jpg,neutral,Looking Right,closed,0
114,c6_face114.jpg,neutral,Looking Right,closed,0
115,c6_face115.jpg,neutral,Looking Right,closed,0
116,c6_face116.jpg,neutral,Looking Right,closed,0
117,c6_face117.jpg,neutral,Looking Right,closed,0
118,c6_face118.jpg,neutral,Looking Right,closed,0
119,c6_face119.jpg,neutral,Looking Right,closed,0
120,c6_face120.jpg,neutral,Looking Right,closed,0
121,c6_face121.jpg,neutral,Looking Right,closed,0
122,c6_face122.jpg,neutral,Looking Right,closed,0
123,c6_face123.jpg,neutral,Looking Right,closed,0
124,c6_face124.jpg,neutral,Looking Right,closed,0
125,c6_face125.jpg,neutral,Looking Right,closed,0
126,c6_face126.jpg,neutral,Looking Right,closed,0
127,c6_face127.jpg,neutral,Looking Right,closed,0
128,c6_face128.jpg,neutral,Looking Right,closed,0
129,c6_face129.jpg,neutral,Looking Right,closed,0
130,c6_face130.jpg,neutral,Looking Right,closed,0
131,c6_face131.jpg,neutral,Looking Right,closed,0
132,c6_face132.jpg,neutral,Looking Right,closed,0
133,c6_face133.jpg,neutral,Looking Right,closed,0
134,c6_face134.jpg,neutral,Looking Right,closed,0
135,c6_face135.jpg,neutral,Looking Right,closed,0
136,c6_face136.jpg,neutral,Looking Right,closed,0
137,c6_face137.jpg,neutral,Looking Right,closed,0
138,c6_face138.jpg,neutral,Looking Right,closed,0
139,c6_face139.jpg,neutral,Looking Right,closed,0
140,c6_face140.jpg,neutral,Looking Right,closed,0
141,c6_face141.jpg,neutral,Looking Right,closed,0
142,c6_face142.jpg,neutral,Looking Right,closed,0
143,c6_face143.jpg,neutral,Looking Right,closed,0
144,c6_face144.jpg,neutral,Looking Right,closed,0
145,c6_face145.jpg,neutral,Looking Right,closed,0
146,c6_face146.jpg,neutral,Looking Right,closed,0
147,c6_face147.jpg,neutral,Looking Right,closed,0
148,c6_face148.jpg,neutral,Looking Right,closed,0
149,c6_face149.jpg,neutral,Looking Right,closed,0
150,c6_face150.jpg,neutral,Looking Right,closed,0
151,c6_face151.jpg,neutral,Looking Right,closed,0
152,c6_face152.jpg,neutral,Looking Right,closed,0
153,c6_face153.jpg,neutral,Looking Right,closed,0
154,c6_face154.jpg,neutral,Looking Right,closed,0
155,c6_face155.jpg,neutral,Looking Right,closed,0
156,c6_face156.jpg,neutral,Looking Right,closed,0
157,c6_face157.jpg,neutral,Looking Right,closed,0
158,c6_face158.jpg,neutral,Looking Right,closed,0
159,c6_face159.jpg,neutral,Looking Right,closed,0
160,c6_face160.jpg,neutral,Looking Right,closed,0
161,c6_face161.jpg,neutral,Looking Right,closed,0
162,c6_face162.jpg,neutral,Looking Right,closed,0
