Sr no,Frame,Expression,Direction,Eye movement,Label
1,c7_face1.jpg,,Looking Right,right,0
2,c7_face2.jpg,,Looking Right,center,1
3,c7_face3.jpg,sad,Looking Left,  center,0
4,c7_face4.jpg,,Forward,center,1
5,c7_face5.jpg,sad,Looking Up,center,0
6,c7_face6.jpg,fear,Looking Up,center,0
7,c7_face7.jpg,,Looking Up,right,1
8,c7_face8.jpg,happy,Forward,center,1
9,c7_face9.jpg,,Looking Up,center,1
10,c7_face10.jpg,sad,Looking Up,,0
11,c7_face11.jpg,,Forward,closed,0
12,c7_face12.jpg,,Looking Up,center,1
13,c7_face13.jpg,,Forward,center,1
14,,,,,
15,c7_face15.jpg,neutral,Forward,closed,0
16,c7_face16.jpg,,,,
17,c7_face17.jpg,neutral,Looking Up,center,1
18,c7_face18.jpg,neutral,Forward,center,1
19,c7_face19.jpg,sad,Forward,center,0
20,c7_face20.jpg,neutral,Forward,center,1
21,c7_face21.jpg,neutral,Forward,right,1
22,c7_face22.jpg,fear,Looking Up,,0
23,c7_face23.jpg,fear,Looking Up,center,0
24,c7_face24.jpg,neutral,Looking Up,center,1
25,c7_face25.jpg,fear,Forward,closed,0
26,c7_face26.jpg,happy,Looking Up,center,1
27,c7_face27.jpg,fear,Looking Left,right,0
28,c7_face28.jpg,neutral,Looking Up,closed,0
29,c7_face29.jpg,fear,Forward,center,0
30,c7_face30.jpg,fear,Looking Up,up,0
31,c7_face31.jpg,neutral,Looking Up,center,1
32,c7_face32.jpg,fear,Looking Up,closed,0
33,c7_face33.jpg,,Looking Up,center,1
34,c7_face34.jpg,fear,Forward,closed,0
35,c7_face35.jpg,neutral,Looking Up,right,1
36,c7_face36.jpg,angry,Looking Up,center,0
37,c7_face37.jpg,,Forward,center,1
38,c7_face38.jpg,happy,Looking Up,closed,1
39,c7_face39.jpg,fear,Forward,closed,0
40,c7_face40.jpg,neutral,Looking Up,center,1
41,c7_face41.jpg,neutral,Looking Up,center,1
42,c7_face42.jpg,happy,Looking Up,center,1
43,c7_face43.jpg,neutral,Looking Up,up,1
44,c7_face44.jpg,neutral,Forward,center,1
45,c7_face45.jpg,,Looking Up,closed,0
46,c7_face46.jpg,neutral,Looking Up,closed,0
47,c7_face47.jpg,neutral,Forward,closed,0
48,c7_face48.jpg,neutral,Forward,closed,0
49,c7_face49.jpg,sad,Looking Up,closed,0
50,c7_face50.jpg,fear,,left,0
51,c7_face51.jpg,sad,Forward,closed,0
52,c7_face52.jpg,,Forward,left,0
53,c7_face53.jpg,,Forward,center,1
54,,,,,
55,c7_face55.jpg,fear,Looking Up,up,0
56,c7_face56.jpg,,Forward,closed,0
57,c7_face57.jpg,,Forward,center,1
58,c7_face58.jpg,sad,Forward,closed,0
59,c7_face59.jpg,neutral,Forward,center,1
60,c7_face60.jpg,neutral,Forward,center,1
61,,,,,
62,c7_face62.jpg,,Forward,down,0
63,c7_face63.jpg,sad,Forward,right,0
64,c7_face64.jpg,,Looking Up,center,1
65,c7_face65.jpg,neutral,Forward,center,1
66,c7_face66.jpg,neutral,Forward,center,1
67,c7_face67.jpg,angry,Looking Up,center,0
68,c7_face68.jpg,,Looking Up,closed,0
69,c7_face69.jpg,neutral,Looking Up,closed,0
70,,,,,
71,c7_face71.jpg,sad,Looking Up,right,0
72,c7_face72.jpg,fear,Looking Up,center,0
73,c7_face73.jpg,fear,Looking Up,closed,0
74,c7_face74.jpg,neutral,Looking Up,center,1
75,c7_face75.jpg,fear,Forward,center,0
76,c7_face76.jpg,neutral,Looking Up,center,1
77,c7_face77.jpg,neutral,Forward,center,1
78,c7_face78.jpg,,Forward,center,1
79,c7_face79.jpg,neutral,Forward,center,1
80,c7_face80.jpg,sad,Forward,center,0
81,c7_face81.jpg,neutral,Forward,center,1
82,c7_face82.jpg,fear,Looking Up,center,0
83,c7_face83.jpg,neutral,Forward,center,1
84,c7_face84.jpg,,Forward,center,1
85,c7_face85.jpg,neutral,Forward,center,1
86,c7_face86.jpg,sad,Forward,center,0
87,c7_face87.jpg,,Looking Left,up,0
88,c7_face88.jpg,fear,Looking Up,up,0
89,c7_face89.jpg,neutral,Forward,down,0
90,c7_face90.jpg,sad,Forward,down,0
91,c7_face91.jpg,happy,Looking Up,up,1
92,c7_face92.jpg,neutral,Looking Up,right,1
93,c7_face93.jpg,,Forward,down,1
94,c7_face94.jpg,neutral,Forward,down,0
95,c7_face95.jpg,sad,Forward,down,0
96,c7_face96.jpg,sad,Looking Up,down,0
97,c7_face97.jpg,fear,Looking Up,down,0
98,c7_face98.jpg,fear,Forward,down,0
