,Sr No,Frame,Expression,Direction,Eye Movement,Label
0,1,c11_face1.jpg,,,,
1,2,c11_face2.jpg,,,,
2,3,c11_face3.jpg,,,,
3,4,c11_face4.jpg,,,,
4,5,c11_face5.jpg,,,,
5,6,c11_face6.jpg,,,,
6,7,c11_face7.jpg,,,,
7,8,c11_face8.jpg,,,,
8,9,c11_face9.jpg,,,,
9,10,c11_face10.jpg,,,,
10,11,c11_face11.jpg,,,,
11,12,c11_face12.jpg,,,,
12,13,c11_face13.jpg,,,,
13,14,c11_face14.jpg,,,,
14,15,c11_face15.jpg,,,,
15,16,c11_face16.jpg,,,,
16,17,c11_face17.jpg,,,,
17,18,c11_face18.jpg,,,,
18,19,c11_face19.jpg,,,,
19,20,c11_face20.jpg,,,,
20,21,c11_face21.jpg,,,,
21,22,c11_face22.jpg,,,,
22,23,c11_face23.jpg,,,,
23,24,c11_face24.jpg,,,,
24,25,c11_face25.jpg,,,,
25,26,c11_face26.jpg,,,,
26,27,c11_face27.jpg,,,,
27,28,c11_face28.jpg,neutral,Looking Right,up,1
28,29,c11_face29.jpg,,,,
29,30,c11_face30.jpg,,,,
30,31,c11_face31.jpg,,,,
31,32,c11_face32.jpg,,,,
32,33,c11_face33.jpg,,,,
33,34,c11_face34.jpg,,,,
34,35,c11_face35.jpg,,,,
35,36,c11_face36.jpg,,,,
36,37,c11_face37.jpg,,,,
37,38,c11_face38.jpg,,,,
38,39,c11_face39.jpg,,,,
39,40,c11_face40.jpg,,,,
40,41,c11_face41.jpg,,,,
41,42,c11_face42.jpg,,,,
42,43,c11_face43.jpg,,,,
43,44,c11_face44.jpg,,,,
44,45,c11_face45.jpg,,,,
45,46,c11_face46.jpg,,,,
46,47,c11_face47.jpg,,,,
47,48,c11_face48.jpg,,,,
48,49,c11_face49.jpg,,,,
49,50,c11_face50.jpg,,,,
50,51,c11_face51.jpg,,,,
51,52,c11_face52.jpg,,,,
52,53,c11_face53.jpg,,,,
53,54,c11_face54.jpg,,,,
54,55,c11_face55.jpg,,,,
55,56,c11_face56.jpg,,,,
56,57,c11_face57.jpg,,,,
57,58,c11_face58.jpg,,,,
58,59,c11_face59.jpg,,,,
59,60,c11_face60.jpg,,,,
60,61,c11_face61.jpg,,,,
61,62,c11_face62.jpg,,,,
62,63,c11_face63.jpg,,,,
63,64,c11_face64.jpg,,,,
64,65,c11_face65.jpg,,,,
65,66,c11_face66.jpg,,,,
66,67,c11_face67.jpg,,,,
67,68,c11_face68.jpg,,,,
68,69,c11_face69.jpg,,,,
69,70,c11_face70.jpg,,,,
70,71,c11_face71.jpg,,,,
71,72,c11_face72.jpg,neutral,Looking Left,right,0
72,73,c11_face73.jpg,,,,
73,74,c11_face74.jpg,,,,
74,75,c11_face75.jpg,,,,
75,76,c11_face76.jpg,,,,
76,77,c11_face77.jpg,neutral,Looking Left,center,1
77,78,c11_face78.jpg,neutral,Looking Left,right,0
78,79,c11_face79.jpg,neutral,Looking Left,down,0
79,80,c11_face80.jpg,,,,
80,81,c11_face81.jpg,,,,
81,82,c11_face82.jpg,,,,
82,83,c11_face83.jpg,,,,
83,84,c11_face84.jpg,,,,
84,85,c11_face85.jpg,,,,
85,86,c11_face86.jpg,,,,
86,87,c11_face87.jpg,,,,
87,88,c11_face88.jpg,,,,
88,89,c11_face89.jpg,,,,
89,90,c11_face90.jpg,,,,
90,91,c11_face91.jpg,,,,
91,92,c11_face92.jpg,,,,
92,93,c11_face93.jpg,,,,
93,94,c11_face94.jpg,,,,
94,95,c11_face95.jpg,,,,
95,96,c11_face96.jpg,,,,
96,97,c11_face97.jpg,,,,
97,98,c11_face98.jpg,,,,
98,99,c11_face99.jpg,,,,
99,100,c11_face100.jpg,,,,
100,101,c11_face101.jpg,,,,
101,102,c11_face102.jpg,,,,
102,103,c11_face103.jpg,,,,
103,104,c11_face104.jpg,,,,
104,105,c11_face105.jpg,,,,
105,106,c11_face106.jpg,,,,
106,107,c11_face107.jpg,,,,
107,108,c11_face108.jpg,,,,
108,109,c11_face109.jpg,,,,
109,110,c11_face110.jpg,,,,
110,111,c11_face111.jpg,,,,
111,112,c11_face112.jpg,,,,
112,113,c11_face113.jpg,,,,
113,114,c11_face114.jpg,,,,
114,115,c11_face115.jpg,,,,
115,116,c11_face116.jpg,,,,
116,117,c11_face117.jpg,,,,
117,118,c11_face118.jpg,,,,
118,119,c11_face119.jpg,,,,
119,120,c11_face120.jpg,,,,
120,121,c11_face121.jpg,,,,
121,122,c11_face122.jpg,,,,
122,123,c11_face123.jpg,,,,
123,124,c11_face124.jpg,,,,
124,125,c11_face125.jpg,,,,
125,126,c11_face126.jpg,,,,
126,127,c11_face127.jpg,,,,
127,128,c11_face128.jpg,,,,
128,129,c11_face129.jpg,,,,
129,130,c11_face130.jpg,,,,
130,131,c11_face131.jpg,,,,
131,132,c11_face132.jpg,,,,
132,133,c11_face133.jpg,,,,
133,134,c11_face134.jpg,,,,
134,135,c11_face135.jpg,,,,
135,136,c11_face136.jpg,,,,
136,137,c11_face137.jpg,,,,
137,138,c11_face138.jpg,,,,
138,139,c11_face139.jpg,,,,
139,140,c11_face140.jpg,,,,
140,141,c11_face141.jpg,,,,
141,142,c11_face142.jpg,,,,
142,143,c11_face143.jpg,,,,
143,144,c11_face144.jpg,,,,
144,145,c11_face145.jpg,,,,
145,146,c11_face146.jpg,,,,
146,147,c11_face147.jpg,,,,
147,148,c11_face148.jpg,,,,
148,149,c11_face149.jpg,,,,
149,150,c11_face150.jpg,,,,
150,151,c11_face151.jpg,,,,
151,152,c11_face152.jpg,,,,
152,153,c11_face153.jpg,,,,
153,154,c11_face154.jpg,,,,
154,155,c11_face155.jpg,,,,
155,156,c11_face156.jpg,,,,
156,157,c11_face157.jpg,,,,
157,158,c11_face158.jpg,,,,
158,159,c11_face159.jpg,,,,
159,160,c11_face160.jpg,,,,
160,161,c11_face161.jpg,,,,
161,162,c11_face162.jpg,,,,
162,163,c11_face163.jpg,,,,
163,164,c11_face164.jpg,,,,
164,165,c11_face165.jpg,,,,
165,166,c11_face166.jpg,,,,
166,167,c11_face167.jpg,,,,
167,168,c11_face168.jpg,,,,
168,169,c11_face169.jpg,,,,
169,170,c11_face170.jpg,,,,
170,171,c11_face171.jpg,,,,
171,172,c11_face172.jpg,,,,
172,173,c11_face173.jpg,,,,
173,174,c11_face174.jpg,,,,
174,175,c11_face175.jpg,,,,
175,176,c11_face176.jpg,,,,
176,177,c11_face177.jpg,,,,
177,178,c11_face178.jpg,,,,
178,179,c11_face179.jpg,,,,
179,180,c11_face180.jpg,,,,
180,181,c11_face181.jpg,,,,
181,182,c11_face182.jpg,,,,
182,183,c11_face183.jpg,,,,
183,184,c11_face184.jpg,fear,Looking Right,center,1
184,185,c11_face185.jpg,,,,
185,186,c11_face186.jpg,,,,
186,187,c11_face187.jpg,,,,
187,188,c11_face188.jpg,,,,
188,189,c11_face189.jpg,,,,
189,190,c11_face190.jpg,,,,
190,191,c11_face191.jpg,,,,
191,192,c11_face192.jpg,,,,
192,193,c11_face193.jpg,,,,
193,194,c11_face194.jpg,,,,
194,195,c11_face195.jpg,,,,
195,196,c11_face196.jpg,,,,
196,197,c11_face197.jpg,,,,
197,198,c11_face198.jpg,,,,
198,199,c11_face199.jpg,,,,
199,200,c11_face200.jpg,,,,
