Sr No,Frame,Expression,Direction,Eye Movement,Label
1,c20_face1.jpg,,,,
2,c20_face2.jpg,,,,
3,c20_face3.jpg,,,,
4,c20_face4.jpg,,,,
5,c20_face5.jpg,,,,
6,c20_face6.jpg,neutral,Forward,closed,0
7,c20_face7.jpg,neutral,Forward,closed,0
8,c20_face8.jpg,neutral,Forward,right,0
9,c20_face9.jpg,neutral,Forward,right,0
10,c20_face10.jpg,neutral,Forward,closed,0
11,c20_face11.jpg,neutral,Forward,center,0
12,c20_face12.jpg,neutral,Forward,down,0
13,c20_face13.jpg,neutral,Looking Down,center,0
14,c20_face14.jpg,neutral,Forward,closed,0
15,c20_face15.jpg,sad,Forward,right,0
16,c20_face16.jpg,neutral,Forward,center,0
17,c20_face17.jpg,neutral,Forward,right,0
18,c20_face18.jpg,sad,Forward,closed,0
19,c20_face19.jpg,neutral,Forward,center,0
20,c20_face20.jpg,sad,Forward,closed,0
21,c20_face21.jpg,neutral,Forward,left,0
22,c20_face22.jpg,neutral,Forward,center,0
23,c20_face23.jpg,sad,Looking Right,closed,0
24,c20_face24.jpg,neutral,Forward,closed,0
25,c20_face25.jpg,neutral,Forward,center,1
26,c20_face26.jpg,neutral,Forward,center,0
27,c20_face27.jpg,neutral,Forward,closed,0
28,c20_face28.jpg,neutral,Forward,right,0
29,c20_face29.jpg,neutral,Forward,right,0
30,c20_face30.jpg,neutral,Forward,right,0
31,c20_face31.jpg,neutral,Forward,closed,0
32,c20_face32.jpg,neutral,Forward,center,0
33,c20_face33.jpg,neutral,Forward,closed,0
34,c20_face34.jpg,neutral,Forward,center,0
35,c20_face35.jpg,angry,Looking Right,down,0
36,c20_face36.jpg,neutral,Looking Down,down,0
37,c20_face37.jpg,,,,
38,c20_face38.jpg,neutral,Looking Left,center,0
39,c20_face39.jpg,neutral,Looking Right,center,1
40,c20_face40.jpg,neutral,Looking Down,center,0
41,c20_face41.jpg,neutral,Looking Right,down,0
42,c20_face42.jpg,neutral,Looking Down,center,0
43,c20_face43.jpg,neutral,Looking Down,center,0
44,c20_face44.jpg,,,,
45,c20_face45.jpg,,Looking Down,,
46,c20_face46.jpg,,Looking Down,,
47,c20_face47.jpg,,Looking Down,,
48,c20_face48.jpg,neutral,Forward,center,0
49,c20_face49.jpg,neutral,Looking Down,center,0
50,c20_face50.jpg,neutral,Looking Down,center,0
51,c20_face51.jpg,neutral,Forward,closed,0
52,c20_face52.jpg,neutral,Looking Down,center,0
53,c20_face53.jpg,neutral,Forward,closed,0
54,c20_face54.jpg,neutral,Forward,closed,0
55,c20_face55.jpg,neutral,Forward,center,0
56,c20_face56.jpg,neutral,Forward,center,0
57,c20_face57.jpg,neutral,Forward,up,0
58,c20_face58.jpg,neutral,Looking Down,center,1
59,c20_face59.jpg,neutral,Looking Down,closed,0
60,c20_face60.jpg,neutral,Looking Down,center,0
61,c20_face61.jpg,neutral,Forward,center,0
62,c20_face62.jpg,neutral,Looking Down,center,0
63,c20_face63.jpg,neutral,Looking Down,closed,0
64,c20_face64.jpg,neutral,Forward,right,0
65,c20_face65.jpg,sad,Forward,closed,0
66,c20_face66.jpg,neutral,Forward,right,0
67,c20_face67.jpg,neutral,Forward,center,0
68,c20_face68.jpg,neutral,Looking Right,right,0
69,c20_face69.jpg,fear,Looking Right,closed,0
70,c20_face70.jpg,,,,
71,c20_face71.jpg,neutral,Looking Right,center,1
72,c20_face72.jpg,neutral,Forward,center,0
73,c20_face73.jpg,neutral,Forward,right,0
74,c20_face74.jpg,neutral,Looking Down,center,0
75,c20_face75.jpg,neutral,Looking Right,right,0
76,c20_face76.jpg,neutral,Forward,center,0
77,c20_face77.jpg,neutral,Forward,down,1
78,c20_face78.jpg,sad,Forward,closed,0
79,c20_face79.jpg,neutral,Forward,center,0
80,c20_face80.jpg,,,,
81,c20_face81.jpg,fear,Looking Right,closed,0
82,c20_face82.jpg,neutral,Forward,right,0
83,c20_face83.jpg,neutral,Forward,center,0
