Sr no,Frames,Expression,Direction,Eye Movement,Label
1,c24_face1.jpg,sad,Looking Up,center,0
2,c24_face2.jpg,neutral,Forward,center,1
3,c24_face3.jpg,neutral,Forward,center,1
4,c24_face4.jpg,neutral,Forward,center,1
5,c24_face5.jpg,neutral,Forward,left,0
6,c24_face6.jpg,neutral,Forward,center,1
7,c24_face7.jpg,neutral,Forward,right,1
8,c24_face8.jpg,fear,Forward,right,0
9,c24_face9.jpg,neutral,Forward,left,1
10,c24_face10.jpg,neutral,Forward,left,1
11,c24_face11.jpg,neutral,Forward,center,1
12,c24_face12.jpg,neutral,Forward,center,1
13,c24_face13.jpg,neutral,Forward,right,1
14,c24_face14.jpg,neutral,Forward,up,0
15,c24_face15.jpg,neutral,Forward,left,0
16,c24_face16.jpg,neutral,Forward,center,1
17,c24_face17.jpg,neutral,Forward,center,1
18,c24_face18.jpg,fear,Forward,right,0
19,c24_face19.jpg,sad,Looking Left,down,0
20,c24_face20.jpg,neutral,Forward,left,0
21,c24_face21.jpg,neutral,Forward,left,1
22,c24_face22.jpg,neutral,Forward,center,1
23,c24_face23.jpg,neutral,Forward,center,1
24,c24_face24.jpg,neutral,Forward,center,1
25,c24_face25.jpg,sad,Forward,center,0
26,c24_face26.jpg,neutral,Forward,center,1
27,c24_face27.jpg,sad,Forward,center,0
28,c24_face28.jpg,sad,Forward,center,0
29,c24_face29.jpg,fear,Forward,center,0
30,c24_face30.jpg,sad,Forward,center,0
31,c24_face31.jpg,neutral,Forward,center,1
32,c24_face32.jpg,neutral,Forward,center,1
33,c24_face33.jpg,neutral,Forward,center,1
34,c24_face34.jpg,neutral,Forward,center,1
35,c24_face35.jpg,sad,Forward,center,0
36,c24_face36.jpg,neutral,Forward,center,1
37,c24_face37.jpg,neutral,Forward,center,1
38,c24_face38.jpg,neutral,Forward,center,1
39,c24_face39.jpg,sad,Forward,center,0
40,c24_face40.jpg,neutral,Forward,center,1
41,c24_face41.jpg,neutral,Forward,center,1
42,c24_face42.jpg,neutral,Forward,center,1
43,c24_face43.jpg,neutral,Forward,center,1
44,c24_face44.jpg,sad,Looking Left,left,0
45,c24_face45.jpg,fear,Looking Left,left,0
46,c24_face46.jpg,neutral,Looking Left,left,0
47,c24_face47.jpg,sad,Looking Left,left,0
48,c24_face48.jpg,fear,Looking Left,left,0
49,c24_face49.jpg,neutral,Forward,center,1
50,c24_face50.jpg,neutral,Forward,center,1
51,c24_face51.jpg,sad,Looking Left,left,0
52,c24_face52.jpg,neutral,Looking Left,left,1
53,c24_face53.jpg,sad,Looking Left,left,0
54,c24_face54.jpg,neutral,Looking Left,left,1
55,c24_face55.jpg,fear,Looking Left,up,0
56,c24_face56.jpg,neutral,Forward,center,1
57,c24_face57.jpg,neutral,Forward,center,1
58,c24_face58.jpg,neutral,Forward,center,1
59,c24_face59.jpg,neutral,Forward,closed,0
